,"Wayne','","ZHL63IMZ4UC','","12','","16211024 4544',",['Gulliver']);
,"Giacomo','","TBM90FOC8ZF','","Showgrounds','","16600101 1011',",['Kiwirail']);
,"Jasper','","CMZ51BYQ2PE','","15','","16021119 9963',","['Mantagi','Gulliver']);"
,"Uriah','","NEW44LSV7PB','","Essendon','","16740428 1474',","['Ganzmovac','Gulliver']);"
,"Clayton','","PPO41YDO9AF','","17','","16650204 8165',",Gulliver');
,"Wade','","RRJ65VYT2YB','","Moonee Ponds','","16550106 0916',",Kiwirail');
,"Cody','","VHV89UVJ3AQ','","Broadmeadows','","16130911 1209',","['Mantagi','Gulliver']);"
,"Damon','","FQV36CTH5GP','","20','","16091023 3790',","['Ganzmovac','Gulliver']);"
,"Lucas','","NVU86GNF2CZ','","NA','","16680106 0697',",['Gulliver']);
,"Chadwick','","RND72XHR5OH','","Ascot Vale','","16221201 3482',",['Kiwirail']);
,"Nash','","MTF74WAZ3NK','","South Kensington','","16990919 0598',","['Ganzmovac','Gulliver']);"
,"Beck','","IFR14ERN0YT','","33','","16910228 8348',",['Gulliver']);
,"Uriel','","WUE20NPS1MF','","Strathmore','","16170722 4349',",['Kiwirail']);
,"Gray','","ADO86KPZ9SE','","Pascoe Vale','","16250825 5904',","['Mantagi','Gulliver']);"
,"Yardley','","SCK40HTL3TB','","NA','","16440519 9136',","['Ganzmovac','Gulliver']);"
,"Robert','","CZC32FLS8KL','","Kensington','","16221225 8087',",['Gulliver']);
,"Odysseus','","FKU15APE1ZO','","Roxburgh Park','","16910610 4236',",['Kiwirail']);
,"Nissim','","ZMS83TIP4AR','","Macaulay','","16340926 7501',","['Mantagi','Gulliver']);"
,"Gavin','","WEK64JLS6QV','","Flemington Bridge','","16400209 0449',","['Ganzmovac','Gulliver']);"
,"Aristotle','","DGZ23SNU5VA','","25','","16030920 7488',",['Gulliver']);
,"Timothy','","JRR53XLW7CY','","Craigieburn','","16100628 2782',",['Kiwirail']);
,"Keaton','","MAP47OLO1ZW','","Upfield','","16771027 8412',","['Mantagi','Gulliver']);"
,"James','","XDK73ERS1IJ','","NA','","16880628 2003',","['Ganzmovac','Gulliver']);"
,"Brent','","UDT63KSN5YH','","Southern Cross','","16981011 7995',",['Gulliver']);
,"Gregory','","DDQ79FBP9TR','","35','","16440812 8025',","['Mantagi','Gulliver']);"
,"Ronan','","CBW41KZK8IE','","36','","16940627 8425',","['Ganzmovac','Gulliver']);"
,"Cade','","RUV50DLI0LY','","Gowrie','","16100521 2061',",['Gulliver']);
,"Beau','","NEG83TDT3XC','","38','","16990920 2484',",['Kiwirail']);
,"Silas','","SOU23EAY3KL','","41','","16280504 6824',","['Mantagi','Gulliver']);"
,"Hector','","MSU42FCE5XX','","Anstey','","16250110 6260',","['Ganzmovac','Gulliver']);"
,"Brock','","POF53JTU5HI','","Merlynston','","16610820 2372',",['Gulliver']);
,"Kenyon','","OBS77LSF9BL','","NA','","16130626 7095',",['Kiwirail']);
,"Leonard','","VDA24ULQ3VL','","Batman','","16841115 2351',","['Mantagi','Gulliver']);"
,"Cedric','","EDJ57YEZ6ML','","Coburg','","16720224 1811',","['Ganzmovac','Gulliver']);"
,"Emery','","TOC68GNS6KJ','","43','","16680202 8677',",['Gulliver']);
,"Orlando','","ZWY01CCC4WD','","Flinders Street','","16291022 0868',","['Mantagi','Gulliver']);"
,"Tyler','","HAI04PSA7RN','","46','","16371027 9195',","['Ganzmovac','Gulliver']);"
,"Jameson','","DZA20SQE9KA','","NA','","16250620 7675',",['Gulliver']);
,"Ferris','","IUW31GLY2ET','","Brighton Beach','","16420224 6338',",['Kiwirail']);
,"Brandon','","OMF11CVO5SQ','","Richmond','","16520702 4216',","['Mantagi','Gulliver']);"
,"Samuel','","WTI50UDF3TY','","Prahran','","16110901 8257',","['Ganzmovac','Gulliver']);"
,"Plato','","RDZ31XUH5YK','","NA','","16860505 7515',",['Gulliver']);
